array_length,n_threads,insertion_sort_threshold,elapsed_time
100,1,100,0.000839
1000,1,0,0.001032
1000,1,1000,0.001417
10000,1,0,0.002856
10000,1,10000,0.046054
10,1,0,0.000932
10,1,10,0.000908
100,1,0,0.000859
100,1,100,0.000862
1000,1,0,0.001036
1000,1,1000,0.001374
10000,1,0,0.002752
10000,1,10000,0.049118
10,1,0,0.000806
10,1,10,0.000807
100,1,0,0.000852
100,1,100,0.000892
1000,1,0,0.001057
1000,1,1000,0.001362
10000,1,0,0.002767
10000,1,10000,0.046295
10,1,0,0.000831
10,1,10,0.000763
100,1,0,0.000818
100,1,100,0.000948
1000,1,0,0.001051
1000,1,1000,0.001298
10000,1,0,0.002753
10000,1,10000,0.046292
10,1,0,0.000836
10,1,10,0.000923
100,1,0,0.000895
100,1,100,0.000829
1000,1,0,0.001164
1000,1,1000,0.001347
10000,1,0,0.002784
10000,1,10000,0.046565
10,1,0,0.000879
10,1,10,0.000800
100,1,0,0.000818
100,1,100,0.000824
1000,1,0,0.001028
1000,1,1000,0.001275
10000,1,0,0.002739
10000,1,10000,0.046982
10,1,0,0.000800
10,1,10,0.000906
100,1,0,0.000866
100,1,100,0.000796
1000,1,0,0.001180
1000,1,1000,0.001467
10000,1,0,0.002797
10000,1,10000,0.046065
10,1,0,0.000862
10,1,10,0.000814
100,1,0,0.000933
100,1,100,0.000850
1000,1,0,0.000961
1000,1,1000,0.001299
10000,1,0,0.003325
10000,1,10000,0.046054
10,1,0,0.000833
10,1,10,0.000774
100,1,0,0.000881
100,1,100,0.000869
1000,1,0,0.001077
1000,1,1000,0.001342
10000,1,0,0.002881
10000,1,10000,0.045866
10,1,0,0.000886
10,1,10,0.000886
100,1,0,0.001062
100,1,100,0.000945
1000,1,0,0.001285
1000,1,1000,0.001314
10000,1,0,0.002882
10000,1,10000,0.047930
10,1,0,0.000878
10,1,10,0.000926
100,1,0,0.000925
100,1,100,0.000973
1000,1,0,0.001060
1000,1,1000,0.001511
10000,1,0,0.002980
10000,1,10000,0.047864
10,1,0,0.000826
10,1,10,0.000872
100,1,0,0.000869
100,1,100,0.000857
1000,1,0,0.001086
1000,1,1000,0.001267
10000,1,0,0.002740
10000,1,10000,0.048280
10,1,0,0.000843
10,1,10,0.000938
100,1,0,0.000911
100,1,100,0.000859
1000,1,0,0.001041
1000,1,1000,0.001312
10000,1,0,0.002762
10000,1,10000,0.046509
10,1,0,0.000842
10,1,10,0.000847
100,1,0,0.000861
100,1,100,0.000873
1000,1,0,0.000982
1000,1,1000,0.001397
10000,1,0,0.002872
10000,1,10000,0.046719
10,1,0,0.000831
10,1,10,0.000874
100,1,0,0.000914
100,1,100,0.000945
1000,1,0,0.001093
1000,1,1000,0.001357
10000,1,0,0.002794
10000,1,10000,0.046231
10,1,0,0.000832
10,1,10,0.000813
100,1,0,0.000841
100,1,100,0.000923
1000,1,0,0.001070
1000,1,1000,0.001432
10000,1,0,0.002791
10000,1,10000,0.046748
10,1,0,0.000844
10,1,10,0.000853
100,1,0,0.000930
100,1,100,0.000796
1000,1,0,0.001026
1000,1,1000,0.001395
10000,1,0,0.002812
10000,1,10000,0.046054
10,1,0,0.000816
10,1,10,0.000901
100,1,0,0.000879
100,1,100,0.000963
1000,1,0,0.000989
1000,1,1000,0.001467
10000,1,0,0.002730
10000,1,10000,0.051524
10,1,0,0.000901
10,1,10,0.000832
100,1,0,0.000849
100,1,100,0.000809
